title,author,pub_date,genres
More Joy in Heaven,Morley Callaghan,,"Fiction, Novel"
Lonesome Dove,Larry McMurtry,1985,"Fiction, Novel"
Warring States,Mags L Halliday,2005,"Science Fiction, Speculative fiction"
The Practice Effect,David Brin,1984,Speculative fiction
The British Museum Is Falling Down,David Lodge,1965,"Comic novel, Fiction"
The History Man,Malcolm Bradbury,1975,"Fiction, Novel"
The Turn of the Screw,Henry James,1898,"Horror, Fiction, Novella"
The French Lieutenant's Woman,John Fowles,1969,"Historical fiction, Romance novel"
Shadow of the Hegemon,Orson Scott Card,2001,"Science Fiction, Speculative fiction, Fiction"
Fantastic Beasts and Where to Find Them,J. K. Rowling,,Speculative fiction
My Family and Other Animals,Gerald Durrell,,Drama
Prince Caspian,C. S. Lewis,1951,"Speculative fiction, Fantasy, Children's literature"
"The Lion, the Witch and the Wardrobe",C. S. Lewis,1950,"Speculative fiction, Fantasy, Children's literature"
Primary Colors,Joe Klein,1996-01-16,Fiction
The Murder of Roger Ackroyd,Agatha Christie,,"Crime Fiction, Mystery, Children's literature, Fiction"
The A.B.C. Murders,Agatha Christie,,"Crime Fiction, Mystery, Children's literature, Fiction"
Crossing the Chasm,Geoffrey Moore,1991,
The Futurological Congress,Stanisław Lem,,Science Fiction
Angela's Ashes,Frank McCourt,1996-09-05,"Biography, Memoir"
Oscar and Lucinda,Peter Carey,1988,"Historical fiction, Fiction, Novel"
From the Earth to the Moon,Jules Verne,1865,"Science Fiction, Speculative fiction, Novel, Scientific romance"
Underworld,Don DeLillo,1997-10-03,"Fiction, Novel"
The Difference Engine,Bruce Sterling,1990-09,"Science Fiction, Novel, Alternate history, Speculative fiction"
Forever Amber,Kathleen Winsor,,
Ethan of Athos,Lois McMaster Bujold,,"Science Fiction, Speculative fiction, Fiction"
The Blind Assassin,Margaret Atwood,2000-09-02,Fiction
Red Harvest,Dashiell Hammett,,"Mystery, Detective fiction, Fiction, Suspense"
The Jealous God,John Braine,,
Who Moved My Cheese? An Amazing Way to Deal with Change in Your Work and in Your Life,Spencer Johnson,1998,Fiction
The Odyssey: A Modern Sequel,,,
Lord Edgware Dies,Agatha Christie,,"Crime Fiction, Mystery, Children's literature, Fiction"
The Mirror Crack'd from Side to Side,Agatha Christie,,"Cozy, Crime Fiction"
Captain Corelli's Mandolin,Louis de Bernières,1993,"War novel, Romance novel, Historical novel"
The Hotel New Hampshire,John Irving,1981,Romance novel
The Bridge,Iain Banks,1986,Novel
Dhalgren,Samuel R. Delany,1975-01,"Science Fiction, Speculative fiction, Fiction"
The Scar,China Miéville,2002-06,"Science Fiction, Novel, Speculative fiction, Fantasy"
Rhinoceros,Eugène Ionesco,,
Harry Potter and the Prisoner of Azkaban,J. K. Rowling,1999-07-08,"Fantasy, Speculative fiction, Young adult literature, Fiction"
Cold Comfort Farm,Stella Gibbons,1932,"Science Fiction, Satire, Novel, Fiction"
Hatter's Castle,A. J. Cronin,1931,Novel
Gravity's Rainbow,Thomas Pynchon,1973,"Science Fiction, Postmodernism, Speculative fiction, Historical novel"
Death in Venice,Thomas Mann,1912,"Gay novel, Reference, Fiction, Novella"
Effi Briest,Theodor Fontane,1894,"Fiction, Novel"
Article 23,William R. Forstchen,1998-09,"Science Fiction, Speculative fiction, Fiction, Novel"
The Day of the Jackal,Frederick Forsyth,1971-06-07,"Thriller, Spy fiction, Fiction, Suspense"
Harry Potter and the Goblet of Fire,J. K. Rowling,2000-07-08,Speculative fiction
A Presumption of Death,Jill Paton Walsh,2002-11,"Crime Fiction, Mystery, Fiction, Suspense"
A Tenured Professor,John Kenneth Galbraith,1990-11-12,Satire
Trumps of Doom,Roger Zelazny,1985-05,"Speculative fiction, Fantasy"
Dream of the Red Chamber,Tsao Hsueh-Chin,,Novel
We Wish to Inform You That Tomorrow We Will Be Killed with Our Families: Stories from Rwanda,Philip Gourevitch,1998,Non-fiction
Nice Work,David Lodge,1988,"Industrial novel, Fiction, Campus novel"
The Haunted Mask,R. L. Stine,1993-09,"Children's literature, Horror, Speculative fiction, Fiction"
The Little Engine That Could,Watty Piper,1930,"Picture book, Children's literature"
Naked Lunch,William S. Burroughs,1959,"Speculative fiction, Novel"
Pattern Recognition,William Gibson,2003-02-03,"Science Fiction, Speculative fiction"
Desperation,,,"Speculative fiction, Horror"
A Gift Upon the Shore,M. K. Wren,,"Speculative fiction, Novel"
The Chrysalids,John Wyndham,1955,"Science Fiction, Speculative fiction, Fiction"
Who Goes There?,John W. Campbell,1938-08,"Science Fiction, Speculative fiction"
Blood of Amber,Roger Zelazny,1986,"Speculative fiction, Fantasy"
Sign of Chaos,Roger Zelazny,1987-10,"Speculative fiction, Fantasy"
Porno,Irvine Welsh,2002-08,"Fiction, Novel"
Prince of Chaos,Roger Zelazny,1991-11,"Speculative fiction, Fantasy"
The Love of the Last Tycoon,F. Scott Fitzgerald,1941,"Fiction, Novel"
Save Me the Waltz,Zelda Fitzgerald,1932,"Fiction, Novel"
It,Stephen King,1986-09-15,"Speculative fiction, Horror"
The Amazing Maurice and His Educated Rodents,Terry Pratchett,2001,"Speculative fiction, Fantasy, Children's literature"
Permutation City,Greg Egan,1994,"Science Fiction, Speculative fiction, Transhumanism"
Quidditch Through the Ages,J. K. Rowling,,Speculative fiction
Key of Solomon,,,
The Wee Free Men,Terry Pratchett,2003,"Speculative fiction, Children's literature, Fiction"
Strata,Terry Pratchett,1981,"Science Fiction, Speculative fiction, Fantasy, Comedy"
The Dark Side of the Sun,Terry Pratchett,1976-01-26,"Science Fiction, Speculative fiction, Fantasy, Fiction"
Soul Music,Terry Pratchett,1994,"Music, Science Fiction, Speculative fiction, Fantasy"
Bluebeard,Kurt Vonnegut,1987,"Speculative fiction, Fiction, Novel"
Tirant lo Blanc,,,
Thunderball,Ian Fleming,1961-03-27,"Thriller, Spy fiction"
The Devil's Disciple,George Bernard Shaw,1901,
The Scarlet Letter,Nathaniel Hawthorne,1850,"Children's literature, Reference, Novel, Romance novel"
The G-String Murders,Craig Rice,1941,"Mystery, Detective fiction, Fiction"
Live from Death Row,Mumia Abu-Jamal,,
The Blue Lotus,Hergé,1936,Comic book
Mrs Craddock,W. Somerset Maugham,,"Fiction, Romance novel, Novel"
Hideous Kinky,Esther Freud,1992-01-30,"Autobiography, Fiction, Novel"
Myra Breckinridge,Gore Vidal,1968-02,"Satire, Novel"
Operation Shylock: A Confession,Philip Roth,1993,Fiction
Virginia,Ellen Glasgow,1913,Novel
You Only Live Twice,Ian Fleming,1964-03-16,Spy fiction
The Stand,Stephen King,1978,"Science Fiction, Children's literature, Horror, Novel"
"Henry IV, Part 1",William Shakespeare,,
The Man with the Golden Gun,Ian Fleming,1965-04-01,Spy fiction
Who Censored Roger Rabbit?,Gary Wolf,1981,"Mystery, Speculative fiction"
The Magic School Bus at the Waterworks,Joanna Cole,1986,"Children's literature, Science"
The Magic School Bus Lost in the Solar System,Joanna Cole,1990,"Speculative fiction, Children's literature"
The Ugly Duckling,Hans Christian Andersen,1843-11-11,"Children's literature, Fiction"
Walden,Henry David Thoreau,1854,"Children's literature, Inspirational, Nature, Speculative fiction"
Things My Girlfriend and I Have Argued About,Mil Millington,2002-10-03,Novel
Ring for Jeeves,P. G. Wodehouse,1953-04-22,"Fiction, Humour"
Water Margin,Shi Naian,,
The Lazarus Effect,Bill Ransom,1983,"Science Fiction, Speculative fiction"
Oblomov,Ivan Goncharov,1859,Fiction
Diaspora,Greg Egan,1998-07,"Science Fiction, Transhumanism, Novel, Hard science fiction"
Schild's Ladder,Greg Egan,2002,"Science Fiction, Speculative fiction"
Murder on the Links,Agatha Christie,1923,"Crime Fiction, Mystery, Children's literature, Fiction"
The Hero with a Thousand Faces,Joseph Campbell,,"Psychology, Fiction, Philosophy, Sociology"
The Amethyst Ring,,,
Seven Days in May,Fletcher Knebel,,
The Years of Rice and Salt,Kim Stanley Robinson,2002,"Alternate history, Science Fiction, Speculative fiction, Novel"
The Fourth Protocol,Frederick Forsyth,1984-08,"Thriller, Fiction, Novel"
Artemis Fowl: The Eternity Code,Eoin Colfer,2003-04-27,"Children's literature, Fantasy"
The Little Mermaid,Hans Christian Andersen,1837-04-07,"Children's literature, Fiction, Sociology"
The Gods Themselves,Isaac Asimov,1972,"Science Fiction, Speculative fiction, Fantasy, Fiction"
Charlotte's Web,E. B. White,1952,"Speculative fiction, Children's literature"
Howl's Moving Castle,Diana Wynne Jones,1986,"Fantasy, Speculative fiction, Young adult literature"
Joy,Marsha A. Hunt,1990-04-12,Novel
Breakfast of Champions,Kurt Vonnegut,1973,"Science Fiction, Speculative fiction, Fiction, Novel"
Mother Night,Kurt Vonnegut,1961,"Science Fiction, Speculative fiction, Fiction, Novel"
Freedom Evolves,Daniel Dennett,2003-02,Non-fiction
Rainbow Six,Tom Clancy,1998-08,"Thriller, Fiction, Novel"
Jasmine,Bharati Mukherjee,1989,"Fiction, Novel"
Far from the Madding Crowd,Thomas Hardy,1874,Novel
Vineland,Thomas Pynchon,1990,"Speculative fiction, Fiction, Novel"
Hallowe'en Party,Agatha Christie,,Crime Fiction
Empire of the Sun,J. G. Ballard,1984-09-13,"Autobiographical novel, Historical fiction, Fiction, War novel"
Lies and the Lying Liars Who Tell Them,Al Franken,2003,"Fiction, Humour"
Maurice,E. M. Forster,,"Gay novel, Fiction"
The Ice Storm,Rick Moody,1994,"Drama, Tragicomedy, Fiction"
Three Comrades,Erich Maria Remarque,1937,"War novel, Novel"
"Pericles, Prince of Tyre",William Shakespeare,1609,
The Forever War,Joe Haldeman,1974,"Science Fiction, Speculative fiction"
"Bambi, A Life in the Woods",Felix Salten,1923,"Children's literature, Fiction"
Robots and Empire,Isaac Asimov,1985,"Science Fiction, Speculative fiction, Fiction"
Foundation,Isaac Asimov,1951,"Science Fiction, Speculative fiction, Children's literature, Fiction"
Second Foundation,Isaac Asimov,1953,"Science Fiction, Speculative fiction, Children's literature, Fiction"
The Abolition of Work,,,
The Vicomte de Bragelonne,Alexandre Dumas,,History
Twenty Years After,Alexandre Dumas,,Historical novel
Logan's Run,William F. Nolan,1967,"Science Fiction, Speculative fiction, Dystopia"
The Two Gentlemen of Verona,William Shakespeare,,
Girlfriend in a Coma,Douglas Coupland,1998,"Fiction, Novel"
Schindler's Ark,Thomas Keneally,1982-10-01,"Biographical novel, Fiction, Historical novel"
The Sparrow,Mary Doria Russell,1996,"Science Fiction, Speculative fiction, Fiction"
Red Rabbit,Tom Clancy,,"Thriller, Fiction, Suspense"
Family Matters,Rohinton Mistry,2002,"Fiction, Novel"
The Structure of Scientific Revolutions,Thomas Samuel Kuhn,1962,
Sartoris,William Faulkner,1929,Novel
Babbitt,Sinclair Lewis,1922,"Satire, Fiction, Novel"
Amerika,Franz Kafka,1927,"Speculative fiction, Fiction, Novel"
The Farthest Shore,Ursula K. Le Guin,1972,"Science Fiction, Children's literature, Speculative fiction, Fantasy"
The Quiet American,Graham Greene,1955-12,"Speculative fiction, Fiction, War novel"
Noli Me Tangere,José Rizal,1887,"Satire, Novel"
Feet of Clay,Terry Pratchett,1996,"Science Fiction, Speculative fiction, Fantasy, Fiction"
The Cask of Amontillado,Edgar Allan Poe,1846-11,"Horror, Short story"
Thursbitch,Alan Garner,2003-10,"Speculative fiction, Fantasy"
Ripley's Game,Patricia Highsmith,1974-03-11,"Crime Fiction, Mystery"
An American Tragedy,Theodore Dreiser,1925,"Crime Fiction, Fiction"
Timon of Athens,William Shakespeare,,
Troilus and Cressida,William Shakespeare,,
General Theory of Employment Interest and Money,John Maynard Keynes,,"Business, Economics, Fiction, Non-fiction"
Tintin in America,Hergé,1932,Comic book
Christine,Stephen King,1983-04-29,"Speculative fiction, Horror"
Nova Express,William S. Burroughs,1964,"Science Fiction, Speculative fiction"
Katar,Stanisław Lem,,"Science Fiction, Speculative fiction"
Fiasco,Stanisław Lem,1986,"Science Fiction, Speculative fiction"
As I Lay Dying,William Faulkner,1930,"Black comedy, Fiction, Novel"
The God of Small Things,Arundhati Roy,1997-06-09,"Fiction, Novel"
The Comedy of Errors,William Shakespeare,,
Quicksilver,Neal Stephenson,2003-09-23,"Science Fiction, Speculative fiction, Fiction, Historical novel"
The Persians,Aeschylus,,
The Other Wind,Ursula K. Le Guin,2001,"Science Fiction, Children's literature, Horror, Speculative fiction"
The Colour of Magic,Terry Pratchett,,"Science Fiction, Speculative fiction, Fantasy, Fiction"
The Light Fantastic,Terry Pratchett,,"Science Fiction, Speculative fiction, Fantasy, Fiction"
Children of the Atom,Wilmar H. Shiras,,Science Fiction
True Names,Vernor Vinge,1981,"Science Fiction, Fantasy, Fiction"
The Postman Always Rings Twice,James M. Cain,1934,"Crime Fiction, Mystery, Fiction, Suspense"
Siddhartha,Hermann Hesse,1922,"Speculative fiction, Fiction"
The Bicentennial Man,Isaac Asimov,1976-02,
Foundation and Empire,Isaac Asimov,1952,"Science Fiction, Speculative fiction, Fiction, Novel"
Equal Rites,Terry Pratchett,1987,"Science Fiction, Speculative fiction, Fantasy, Fiction"
Guards! Guards!,Terry Pratchett,1989,"Science Fiction, Speculative fiction, Fantasy, Comedy"
Pyramids,Terry Pratchett,1989,"Science Fiction, Speculative fiction, Fantasy, Fiction"
The Monkey's Paw,W. W. Jacobs,1903,Speculative fiction
The Sea Hawk,Rafael Sabatini,1915,
The Master and Margarita,Mikhail Bulgakov,,"Novel, Satire, Speculative fiction, Romance novel"
The Gold-Bug,Edgar Allan Poe,1843,
The Visit,Friedrich Dürrenmatt,,
Disgrace,John Maxwell Coetzee,1999-07-01,Novel
The Lords of Discipline,Pat Conroy,1980,"Fiction, Roman à clef"
Engines of Creation,K. Eric Drexler,1986,
Out of the Silent Planet,C. S. Lewis,1938,"Science Fiction, Speculative fiction, Fiction"
The Variable Man,Philip K. Dick,,
Eric,Terry Pratchett,1990,"Science Fiction, Children's literature, Fantasy, Speculative fiction"
The Sirens of Titan,Kurt Vonnegut,1959,"Black comedy, Science Fiction, Speculative fiction, Fantasy"
Mila 18,Leon Uris,,"Science Fiction, Fantasy, Fiction"
QB VII,Leon Uris,,
Freaky Friday,Mary Rodgers,,"Children's literature, Young adult literature, Speculative fiction, Fiction"
How Few Remain,Harry Turtledove,1997-09-08,"Alternate history, Science Fiction, Speculative fiction"
Perelandra,C. S. Lewis,1943,"Science Fiction, Speculative fiction, Fiction"
Teranesia,Greg Egan,1999,"Science Fiction, Speculative fiction, Fiction"
On the Road,Jack Kerouac,1957,"Roman à clef, Novel, Fiction"
Vernon God Little,D. B. C. Pierre,2003-01-20,Fiction
The Last Hero,Terry Pratchett,2001,"Science Fiction, Speculative fiction, Fantasy, Fiction"
Vile Bodies,Evelyn Waugh,1930,"Fiction, Novel"
Gilgamesh the King,Robert Silverberg,1984,"Speculative fiction, Fantasy"
Roma Eterna,Robert Silverberg,,"Alternate history, Science Fiction, Speculative fiction, Historical fiction"
The Emerald City of Oz,L. Frank Baum,1910,"Speculative fiction, Fantasy, Children's literature"
A Door Into Ocean,Joan Slonczewski,1986,"Science Fiction, Speculative fiction, Fiction"
The Robber Bride,Margaret Atwood,1993-09,"Speculative fiction, Fiction, Novel"
Lazarillo de Tormes,,1554,Picaresque novel
The Day of the Locust,Nathanael West,1939-05-16,"Fiction, Novel"
On Her Majesty's Secret Service,Ian Fleming,1963-04-01,Spy fiction
The Mote in God's Eye,Jerry Pournelle,1974,"Science Fiction, Speculative fiction, Novel"
The Dot and the Line,,,
The Egg and I,Betty MacDonald,1945,
Persuasion,Jane Austen,1818,"Novel, Children's literature, Suspense, Romance novel"
Stand on Zanzibar,John Brunner,1968,"Science Fiction, Speculative fiction, Novel, Dystopia"
Rubyfruit Jungle,Rita Mae Brown,1973,"Fiction, Novel"
Fallen Dragon,Peter F. Hamilton,,"Science Fiction, Speculative fiction"
Maus,Art Spiegelman,,"Autobiography, Biography"
The Sea-Wolf,Jack London,1904,"Children's literature, Fiction, Adventure novel, Suspense"
Lost in the Stars,Maxwell Anderson,,
Count Zero,William Gibson,1986,"Cyberpunk, Science Fiction, Speculative fiction, Dystopia"
Mona Lisa Overdrive,William Gibson,1988,"Cyberpunk, Science Fiction, Speculative fiction, Novel"
Tehanu,Ursula K. Le Guin,1990,"Science Fiction, Children's literature, Fantasy, Speculative fiction"
The Missionary Position,Christopher Hitchens,1995,Biography
The Plague Dogs,Richard Adams,1977-09-22,"Speculative fiction, Fantasy, Fiction"
Moll Flanders,Daniel Defoe,1722-01,"Novel, Fantasy, Fiction, Suspense"
Skellig,David Almond,1998,"Children's literature, Magic realism, Speculative fiction, Mystery"
Kokoro,Soseki Natsume,1914,
Diary of an Ordinary Woman,Margaret Forster,2003-03-06,Novel
The Road to Oz,L. Frank Baum,1909,"Speculative fiction, Fantasy, Children's literature"
The Last Battle,C. S. Lewis,1956,"Speculative fiction, Fantasy, Children's literature"
After the Funeral,Agatha Christie,,"Crime Fiction, Mystery, Children's literature, Fiction"
She: A History of Adventure,H. Rider Haggard,1887,"Adventure novel, Speculative fiction, Romance novel, Fantasy"
Burmese Days,George Orwell,1934-10,"Fiction, Novel"
A Clergyman's Daughter,George Orwell,1935,Novel
Star Maker,Olaf Stapledon,1937,"Scientific romance, Science Fiction, Speculative fiction, Novel"
Player Piano,Kurt Vonnegut,1952,"Science Fiction, Speculative fiction, Dystopia"
The Loved One,Evelyn Waugh,1948-02,"Satire, Fiction, Novel"
A Town Like Alice,Nevil Shute,1950,Fiction
We the Living,Ayn Rand,,"Autobiographical novel, Historical fiction, Fiction"
When Harlie Was One,David Gerrold,1972,"Science Fiction, Speculative fiction, Fiction"
The Call of the Wild,Jack London,1903,"Children's literature, Adventure, Adventure novel, Speculative fiction"
The Soft Machine,William S. Burroughs,,"Speculative fiction, Novel"
Caddie Woodlawn,Carol Ryrie Brink,1935,"Children's literature, Fiction"
The Sun Also Rises,Ernest Hemingway,,"Roman à clef, Children's literature, Novel, Fiction"
Germinal,Émile Zola,1885,Novel
Les Liaisons dangereuses,Pierre Choderlos de Laclos,1782-03-23,Epistolary novel
Krapp's Last Tape,Samuel Beckett,1958,
Happy Days,Samuel Beckett,1960,
The First Circle,Aleksandr Solzhenitsyn,1968,"Fiction, Novel"
Death Be Not Proud,John Gunther,1949,"Non-fiction, Memoir"
The Golden Age,John C. Wright,2002,"Hard science fiction, Science Fiction, Speculative fiction"
The Good Soldier Švejk,Jaroslav Hašek,,"Black comedy, Satire, Novel"
Singularity Sky,Charles Stross,2003-07-01,"Science Fiction, Speculative fiction, Novel"
The Perfect Storm,Sebastian Junger,1997-05-17,"Nature, Biography"
The Marvelous Land of Oz,L. Frank Baum,1904,"Speculative fiction, Children's literature"
Ozma of Oz,L. Frank Baum,1907,"Speculative fiction, Fantasy, Children's literature"
Prey,Michael Crichton,2002-11-25,"Science Fiction, Speculative fiction, Techno-thriller, Mystery"
The Tin Woodman of Oz,L. Frank Baum,1918,"Speculative fiction, Fantasy, Children's literature"
"Pierre Menard, Author of the Quixote",Jorge Luis Borges,1939-05,
Rocannon's World,Ursula K. Le Guin,1966,"Science Fiction, Speculative fiction"
Always Coming Home,Ursula K. Le Guin,1985,"Science Fiction, Speculative fiction, Fantasy, Fiction"
The Last of the Mohicans,James Fenimore Cooper,1826-02,Historical novel
"The History of Rasselas, Prince of Abissinia",Samuel Johnson,,
Dorothy and the Wizard in Oz,L. Frank Baum,1908,"Speculative fiction, Fantasy, Children's literature"
Forward the Foundation,Isaac Asimov,1993-01,"Science Fiction, Speculative fiction, Fiction"
Ramona,Helen Hunt Jackson,1884,"Children's literature, Fiction, Novel"
Tik-Tok of Oz,L. Frank Baum,1914,"Speculative fiction, Fantasy, Children's literature"
The Truce at Bakura,Kathy Tyers,1993,"Science Fiction, Speculative fiction, Fiction"
An Enemy of the People,Henrik Ibsen,,
The Scarecrow of Oz,L. Frank Baum,1917,"Speculative fiction, Fantasy, Children's literature"
The Genius and the Goddess,Aldous Huxley,1955-12,Romance novel
Balance Point,Kathy Tyers,,"Science Fiction, Speculative fiction, Fantasy"
The Old Capital,Yasunari Kawabata,1962,Novel
Destiny's Way,Walter Jon Williams,,"Science Fiction, Speculative fiction"
Timequake,Kurt Vonnegut,1997,"Autobiographical novel, Time travel, Speculative fiction"
The Neverending Story,Michael Ende,1979,"Science Fiction, Children's literature, Fantasy, Speculative fiction"
The Chosen,Chaim Potok,1967-06,"Speculative fiction, Children's literature, Fiction, Novel"
The Campus Murders,Gil Brewer,1969,"Mystery, Detective fiction"
Rinkitink in Oz,L. Frank Baum,1916,"Speculative fiction, Fantasy, Children's literature"
Arrowsmith,Sinclair Lewis,1925,"Fiction, Novel"
The Lost Princess of Oz,L. Frank Baum,1917,"Speculative fiction, Fantasy, Children's literature"
The Time Ships,Stephen Baxter,1995,"Science Fiction, Novel, Alternate history, Speculative fiction"
Evolution,Stephen Baxter,2002-11-30,"Science Fiction, Speculative fiction, Fantasy"
Black Beauty,Anna Sewell,1877-11-24,"Children's literature, Fiction, Novel"
A Visit from St. Nicholas,Clement Clarke Moore,1823,Children's literature
Vector Prime,Robert Anthony Salvatore,,"Science Fiction, Speculative fiction"
The Thorn Birds,Colleen McCullough,1977-04,"Children's literature, Fiction, Romance novel, Novel"
The Magic of Oz,L. Frank Baum,1919,"Speculative fiction, Fantasy, Children's literature"
Charlie and the Great Glass Elevator,Roald Dahl,1972-09,"Science Fiction, Children's literature, Fantasy, Speculative fiction"
The Inheritors,Ford Madox Ford,,"Novel, Science Fiction, Speculative fiction, Poetry"
Moving Pictures,Terry Pratchett,1990,"Science Fiction, Speculative fiction, Fantasy, Fiction"
Glinda of Oz,L. Frank Baum,1920,"Speculative fiction, Fantasy, Children's literature"
The Book of Sand,Jorge Luis Borges,1975,
Walk Two Moons,Sharon Creech,1994-06-30,"Children's literature, Young adult literature, Fiction"
"God Bless You, Mr. Rosewater",Kurt Vonnegut,1965,"Speculative fiction, Fiction, Novel"
The Unknown Soldier,Väinö Linna,1954-12-03,War novel
Main Street,Sinclair Lewis,1920,"Autobiography, Biography, Children's literature, Fiction"
Misery,Stephen King,1987-06-08,"Children's literature, Horror, Speculative fiction, Fiction"
The Monk,M. G. Lewis,,Gothic fiction
Star by Star,Troy Denning,,"Science Fiction, Speculative fiction, Fantasy, Fiction"
American Tabloid,James Ellroy,1995-02-14,"Crime Fiction, Mystery, Speculative fiction, Fiction"
The Wonderful Adventures of Nils,Selma Lagerlöf,1906,"Speculative fiction, Children's literature"
The Cold Six Thousand,James Ellroy,2001-05-08,"Crime Fiction, Mystery, Novel, Suspense"
Fifth Business,Robertson Davies,1970,"Speculative fiction, Fiction"
The Crab with the Golden Claws,Hergé,1941,
Black Boy,Richard Wright,1945,"Autobiography, Biography, Künstlerroman, Non-fiction"
The City and the Pillar,Gore Vidal,1948-01-10,Novel
Tai-Pan: A Novel of Hong Kong,James Clavell,1966,"Historical fiction, Fiction, Novel"
Horton Hears a Who!,Dr. Seuss,1954-08,Children's literature
The World is Round,Tony Rothman,1978,"Hard science fiction, Science Fiction, Speculative fiction"
Angels in America: A Gay Fantasia on National Themes,Tony Kushner,,
’Salem's Lot,Stephen King,1975-09-05,"Gothic fiction, Speculative fiction, Horror"
One Day in the Life of Ivan Denisovich,Aleksandr Solzhenitsyn,1963,Fiction
The Black Dahlia,James Ellroy,1987-09,"Crime Fiction, Mystery, Novel, Fiction"
Invisible Man,Ralph Ellison,1952,"Science Fiction, Children's literature, Novel, Fiction"
The Bourne Identity,Robert Ludlum,1980-02,"Thriller, Mystery, Spy fiction, Fiction"
The Gripping Hand,Jerry Pournelle,,"Science Fiction, Speculative fiction, Novel"
Redwall,Brian Jacques,,"Children's literature, Fantasy, Speculative fiction, Fiction"
Forever Peace,Joe Haldeman,1997,"Science Fiction, Speculative fiction, Novel"
Alaska,James A. Michener,1988,"History, Fiction, Historical novel"
The Shooting Star,Hergé,1942,
The Mill on the Floss,George Eliot,1860,"Children's literature, Novel, Romance novel, Mystery"
Lullaby,Chuck Palahniuk,2002-09-17,"Satire, Horror, Speculative fiction, Fiction"
The Knight's Tale,Geoffrey Chaucer,,Chivalric romance
Le Père Goriot,Honoré de Balzac,,
Lucky Jim,Kingsley Amis,1954,"Comic novel, Fiction, Novel"
Grim the Collier of Croydon,J. T.,,
"For Us, The Living: A Comedy of Customs",Robert A. Heinlein,2003-11-28,"Science Fiction, Speculative fiction"
A Connecticut Yankee in King Arthur's Court,Mark Twain,1889,"Science Fiction, Children's literature, Alternate history, Speculative fiction"
The Glass Menagerie,Tennessee Williams,,
Absolution Gap,Alastair Reynolds,,"Hard science fiction, Science Fiction, Speculative fiction"
Broken Angels,Richard Morgan,2003-03-20,"Science Fiction, Speculative fiction"
A Delicate Balance,Edward Albee,,
"Coronation, or the Last of the Romanovs",Boris Akunin,2000,"Mystery, Novel, History"
Wolves of the Calla,Stephen King,2003-11-04,"Science Fiction, Horror, Western fiction, Speculative fiction"
The Good Earth,Pearl S. Buck,1931-03-02,"Historical fiction, Children's literature, Fiction"
The Secret Garden,Frances Hodgson Burnett,1909,"Science Fiction, Speculative fiction, Children's literature, Fiction"
"The Sea, the Sea",Iris Murdoch,1978,Fiction
Trinity,Leon Uris,1976,"Historical fiction, Fiction"
The Discovery of Heaven,Harry Mulisch,1992-10,"Fiction, Novel"
A Prayer for Owen Meany,John Irving,1989-03,Novel
This Present Darkness,Frank E. Peretti,,
Oahspe: A New Bible,,1882,Religion
Get Shorty,Elmore Leonard,,"Crime Fiction, Mystery, Fiction"
Autobiography of a Brown Buffalo,Oscar Zeta Acosta,1972,"Autobiography, Novel"
The Naked Sun,Isaac Asimov,1957-01,"Mystery, Science Fiction, Speculative fiction, Children's literature"
The Man Who Was Thursday,G. K. Chesterton,1908,"Thriller, Mystery, Speculative fiction, Fiction"
A Simple Plan,Scott Smith,1993-08-31,"Thriller, Mystery, Fiction, Suspense"
"Farewell, My Lovely",Raymond Chandler,1940,"Crime Fiction, Hardboiled"
The Long Goodbye,Raymond Chandler,1953,"Mystery, Detective fiction, Novel, Hardboiled"
The Once and Future King,T. H. White,1958,"Speculative fiction, Fantasy"
Relic,Douglas Preston,1995,"Thriller, Science Fiction, Horror, Speculative fiction"
The Mayor of Casterbridge: The Life and Death of a Man of Character,Thomas Hardy,1886,Novel
Life of Pi,Yann Martel,2001-09,"Fiction, Novel"
Le Morte d'Arthur,Thomas Malory,,
The Robots of Dawn,Isaac Asimov,1983,"Mystery, Science Fiction, Speculative fiction, Children's literature"
Peril at End House,Agatha Christie,,"Crime Fiction, Mystery, Children's literature, Fiction"
The Subtle Knife,Philip Pullman,1997,"Children's literature, Fantasy, Speculative fiction, Fiction"
The Horse and His Boy,C. S. Lewis,1954,"Speculative fiction, Fantasy, Children's literature"
The Story of the Stone,Barry Hughart,1988,"Speculative fiction, Fantasy"
The Mists of Avalon,Marion Zimmer Bradley,1983-01,"Speculative fiction, Fantasy, Fiction"
The Book of Merlyn,T. H. White,1977,"Speculative fiction, Fantasy, Fiction"
The Tragical History of Doctor Faustus,Christopher Marlowe,1604,
The Iron Heel,Jack London,1908,"Science Fiction, Speculative fiction, Utopian and dystopian fiction, Fantasy"
Martin Eden,Jack London,1909,"Children's literature, Künstlerroman, Fiction, Novel"
The Valley of the Moon,Jack London,1913,"Children's literature, Fiction"
At Swim-Two-Birds,Flann O'Brien,1939,Novel
Startide Rising,David Brin,1983,"Science Fiction, Speculative fiction, Children's literature, Fiction"
Rilla of Ingleside,Lucy Maud Montgomery,1921,Children's literature
The Pickwick Papers,Charles Dickens,1837,"Fiction, Novel"
Quarantine,Greg Egan,1992,"Hard science fiction, Science Fiction, Speculative fiction, Fantasy"
Perfume,Patrick Süskind,1985,"Mystery, Speculative fiction, Horror, Magic realism"
Rama II,Gentry Lee,1989,"Science Fiction, Speculative fiction, Fiction"
